model_name,imputation_strategy,accuracy,precision,recall,f1,roc_auc,pr_auc,validation_strategy,calibrated,calibration_method
random_forest,knn,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.9666666666666668,0.9818181818181819,time_aware_holdout,true,sigmoid
extra_trees,mean,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.9166666666666667,0.9707070707070709,time_aware_holdout,true,sigmoid
logistic_regression,knn,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.8666666666666667,0.9651515151515152,time_aware_holdout,true,sigmoid
random_forest,mean,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.8333333333333334,0.953846153846154,time_aware_holdout,true,sigmoid
random_forest,median,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.8333333333333334,0.953846153846154,time_aware_holdout,true,sigmoid
random_forest,mode,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.8333333333333334,0.953846153846154,time_aware_holdout,true,sigmoid
logistic_regression,mean,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.7333333333333334,0.9229292929292928,time_aware_holdout,true,sigmoid
logistic_regression,median,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.7333333333333334,0.9229292929292928,time_aware_holdout,true,sigmoid
logistic_regression,mode,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.7333333333333334,0.9229292929292928,time_aware_holdout,true,sigmoid
decision_tree,mean,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,0.7692307692307693,time_aware_holdout,true,sigmoid
hist_gradient_boosting,mean,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,0.7692307692307693,time_aware_holdout,true,sigmoid
decision_tree,median,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,0.7692307692307693,time_aware_holdout,true,sigmoid
hist_gradient_boosting,median,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,0.7692307692307693,time_aware_holdout,true,sigmoid
decision_tree,mode,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,0.7692307692307693,time_aware_holdout,true,sigmoid
hist_gradient_boosting,mode,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,0.7692307692307693,time_aware_holdout,true,sigmoid
decision_tree,knn,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,0.7692307692307693,time_aware_holdout,true,sigmoid
hist_gradient_boosting,knn,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.5,0.7692307692307693,time_aware_holdout,true,sigmoid
extra_trees,median,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.08333333333333334,0.6465734265734265,time_aware_holdout,true,sigmoid
extra_trees,mode,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913043,0.08333333333333334,0.6437162837162836,time_aware_holdout,true,sigmoid
extra_trees,knn,0.5384615384615384,0.7,0.7,0.7,0.08333333333333334,0.6412454212454212,time_aware_holdout,true,sigmoid
